Haltestelle;Name;Kurzname;Haltestellenbereich;XKoordinate;YKoordinate;Betriebsbereich;Linien
3514;Ebertplatz;EBP;35;6.95895;50.95042;STRAB;16 18
3521;Ebertplatz;EBP;35;6.95813;50.95088;BUS;127 140
3522;Ebertplatz;EBP;35;6.9578;50.95088;BUS;127 140
3611;Hansaring;HSR;36;6.95155;50.94871;STRAB;12 15
3612;Hansaring;HSR;36;6.95092;50.94852;STRAB;12 15
3621;Hansaring;HSR;36;6.95281;50.94981;BUS;127
3622;Hansaring;HSR;36;6.95335;50.95021;BUS;127
3721;Worringer Str.;WRR;37;6.96816;50.95538;BUS;140
3722;Worringer Str.;WRR;37;6.96788;50.9555;BUS;140 184
3821;Krefelder Wall;KFW;38;6.95041;50.95416;BUS;127
3822;Krefelder Wall;KFW;38;6.95044;50.95436;BUS;127
3911;Deutzer Freiheit;DZF;39;6.97142;50.93805;STRAB;1 9
3912;Deutzer Freiheit;DZF;39;6.9713;50.93747;STRAB;1 9
3913;Deutzer Freiheit;DZF;39;6.97084;50.93553;STRAB;7
3914;Deutzer Freiheit;DZF;39;6.97108;50.93608;STRAB;7
3933;Deutzer Freiheit;DZF;39;6.97066;50.935;BUS;
3934;Deutzer Freiheit;DZF;39;6.97136;50.93645;BUS;
4011;Suevenstr.;SVS;40;6.97649;50.93287;STRAB;3 4
4012;Suevenstr.;SVS;40;6.97607;50.93256;STRAB;3 4
4031;Suevenstr.;SVS;40;6.9765;50.93276;BUS;
4032;Suevenstr.;SVS;40;6.97638;50.93295;BUS;
4211;Koelnmesse;MSO;42;6.98227;50.94358;STRAB;3 4
4212;Koelnmesse;MSO;42;6.98175;50.9432;STRAB;3 4
4231;Koelnmesse;MSO;42;6.98232;50.94339;BUS;
4232;Koelnmesse;MSO;42;6.98189;50.94349;BUS;
4233;Koelnmesse;MSO;42;6.9819;50.9435;BUS;
4234;Koelnmesse;MSO;42;6.98164;50.94258;BUS;
4411;Deutz Technische Hochschule;DZB;44;6.98593;50.93659;STRAB;1 9
4412;Deutz Technische Hochschule;DZB;44;6.98484;50.93691;STRAB;1 9
4421;Deutz Technische Hochschule;DZB;44;6.98629;50.93633;BUS;153 179
4422;Deutz Technische Hochschule;DZB;44;6.98578;50.93661;BUS;153 179
4511;Severinsbrücke;SVB;45;6.97236;50.93057;STRAB;7
4512;Severinsbrücke;SVB;45;6.97198;50.93108;STRAB;7
4531;Severinsbrücke;SVB;45;6.97212;50.93066;BUS;
4532;Severinsbrücke;SVB;45;6.9718;50.93145;BUS;
4611;Drehbrücke;DRE;46;6.97469;50.92864;STRAB;7
4612;Drehbrücke;DRE;46;6.97538;50.92821;STRAB;7
4631;Drehbrücke;DRE;46;6.97449;50.92865;BUS;
4632;Drehbrücke;DRE;46;6.97559;50.92819;BUS;
4711;Poller Kirchweg;PKI;47;6.97967;50.924;STRAB;7
4712;Poller Kirchweg;PKI;47;6.98017;50.92361;STRAB;7
4731;Poller Kirchweg;PKI;47;6.97989;50.92361;BUS;
4732;Poller Kirchweg;PKI;47;6.97982;50.92398;BUS;
4821;Betzdorfer Str.;BTZ;48;6.99161;50.9358;BUS;153
4822;Betzdorfer Str.;BTZ;48;6.99148;50.93591;BUS;153
4911;Bf Deutz/LANXESS arena;BDK;49;6.97858;50.93922;STRAB;3 4
4912;Bf Deutz/LANXESS arena;BDK;49;6.97818;50.93865;STRAB;3 4
4921;Bf Deutz/LANXESS arena;BDK;49;6.97825;50.93829;BUS;153 179 196
4922;Bf Deutz/LANXESS arena;BDK;49;6.97828;50.93841;BUS;153 179 196
5021;Rotdornstr.;RTS;50;6.99796;50.88562;BUS;130 197
5022;Rotdornstr.;RTS;50;6.99803;50.88541;BUS;130 197
5121;Im Rheinpark;IRP;51;6.97492;50.94579;BUS;150
5122;Im Rheinpark;IRP;51;6.97493;50.94568;BUS;150
5211;Pohligstr.;POH;52;6.94158;50.91668;STRAB;12
5212;Pohligstr.;POH;52;6.94132;50.91624;STRAB;12
5221;Pohligstr.;POH;52;6.94107;50.91729;BUS;142
5223;Pohligstr.;POH;52;6.94101;50.91712;BUS;142
5311;Herthastr.;HTH;53;6.94087;50.91322;STRAB;12
5312;Herthastr.;HTH;53;6.94073;50.9127;STRAB;12
5411;Gottesweg;GOW;54;6.94154;50.91022;STRAB;12
5412;Gottesweg;GOW;54;6.94129;50.90981;STRAB;12
